CourseCode;Name;StartDate;EndDate;Location;MaterialType;Description;MatCode;MainCategory;SubCategory1;SubCategory2
566962;Sovelto Hybrid: MCSA Machine Learning;5.11.2018;4.2.2019;Pasila;;Sertifioidu Azuren koneoppimessaMachine learning kuuluu tämän hetken kuumimpiin termeihin. Yritykset ovatkin alkaneet räjähdysmäisesti panostamaan omiin machine learning -ratkaisuihin, joka näkyy osaajien kovassa kysynnässä markkinoilla. Liity osaajien joukkoon!;True;Technology;Databases and Analytics;Reporting and BI
566766;DO281 Red Hat OpenShift Administration I with exam;17.12.2018;20.12.2018;Pasila;Kirja tai muu tuloste;Create, configure, manage, and troubleshoot OpenShift clusters;True;Technology;Infra;Red Hat
566561;Oracle Database 12c R2: RAC Administration Ed 2;22.10.2018;25.10.2018;Pasila;;This Oracle Database 12c R2: RAC Administration training will teach you about Oracle RAC database architecture.;True;Technology;Databases and Analytics;Oracle-courses
566306;Soft skills for Developers & Technical Experts;4.9.2018;5.9.2018;Pasila;;;True
565851;Microsoft Dynamics 365 Customer Engagement (CRM) Konsulteille;10.10.2018;12.10.2018;Pasila;;Tämä kurssi on uusi ja keskittyy konsultin roolissa toimivien henkilöiden valmentamiseen. Teknisten ja toiminnallisten tietojen lisäksi, kurssi tarjoaa kokonaisen päivän, jonka aikana siirrettävät taidot (soft skills) hiotaan konsultin työssä toimivalle arvoiseensa malliin.;True;Productivity;Co-operation and Communication
565852;Microsoft Dynamics 365 Customer Engagement (CRM) Konsulteille;10.10.2018;12.10.2018;Online;;Tämä kurssi on uusi ja keskittyy konsultin roolissa toimivien henkilöiden valmentamiseen. Teknisten ja toiminnallisten tietojen lisäksi, kurssi tarjoaa kokonaisen päivän, jonka aikana siirrettävät taidot (soft skills) hiotaan konsultin työssä toimivalle arvoiseensa malliin.;True;Productivity;Co-operation and Communication
565831;Microsoft Dynamics 365 Customer Engagement (CRM) System Administraattoreille;5.9.2018;7.9.2018;Pasila;PDF;Kurssi järjestelmän ylläpitäjille, organisaation järjestelmän kehittäjille ja heille joille riittävä osaaminen ei ole tarpeeksi.Kolmen intensiivisen päivän aikana tutustumme järjestelmän toiminallisuuksiin, parhaisiin käytäntöihin, tyypillisiin käyttäjien kohtaamiin ongelmiin ja niiden ratkomiseen, käyttäjähallintaan, kustomointiin (mukauttamiseen) ja pääkäyttäjältä vaadittavaan osaamiseen.Hyödyt ja lopputulema: Perusteellinen toiminnallinen ja tekninen osaaminen, kyky mukauttaa järjestelmä organisaation tarpeisiin sekä käyttäjähallinnasta vastaaminen.&nbsp;;True;Productivity;Sales and Marketing;Marketing and Sales
565832;Microsoft Dynamics 365 Customer Engagement (CRM) System Administraattoreille;5.9.2018;7.9.2018;Online;PDF;Kurssi järjestelmän ylläpitäjille, organisaation järjestelmän kehittäjille ja heille joille riittävä osaaminen ei ole tarpeeksi.Kolmen intensiivisen päivän aikana tutustumme järjestelmän toiminallisuuksiin, parhaisiin käytäntöihin, tyypillisiin käyttäjien kohtaamiin ongelmiin ja niiden ratkomiseen, käyttäjähallintaan, kustomointiin (mukauttamiseen) ja pääkäyttäjältä vaadittavaan osaamiseen.Hyödyt ja lopputulema: Perusteellinen toiminnallinen ja tekninen osaaminen, kyky mukauttaa järjestelmä organisaation tarpeisiin sekä käyttäjähallinnasta vastaaminen.&nbsp;;True;Productivity;Sales and Marketing;Marketing and Sales
566668;Microsoft Dynamics 365 Customer Engagement (CRM) System Administraattoreille;15.10.2018;17.10.2018;Pasila;PDF;Kurssi järjestelmän ylläpitäjille, organisaation järjestelmän kehittäjille ja heille joille riittävä osaaminen ei ole tarpeeksi.Kolmen intensiivisen päivän aikana tutustumme järjestelmän toiminallisuuksiin, parhaisiin käytäntöihin, tyypillisiin käyttäjien kohtaamiin ongelmiin ja niiden ratkomiseen, käyttäjähallintaan, kustomointiin (mukauttamiseen) ja pääkäyttäjältä vaadittavaan osaamiseen.Hyödyt ja lopputulema: Perusteellinen toiminnallinen ja tekninen osaaminen, kyky mukauttaa järjestelmä organisaation tarpeisiin sekä käyttäjähallinnasta vastaaminen.&nbsp;;True;Productivity;Sales and Marketing;Marketing and Sales
566669;Microsoft Dynamics 365 Customer Engagement (CRM) System Administraattoreille;15.10.2018;17.10.2018;Online;PDF;Kurssi järjestelmän ylläpitäjille, organisaation järjestelmän kehittäjille ja heille joille riittävä osaaminen ei ole tarpeeksi.Kolmen intensiivisen päivän aikana tutustumme järjestelmän toiminallisuuksiin, parhaisiin käytäntöihin, tyypillisiin käyttäjien kohtaamiin ongelmiin ja niiden ratkomiseen, käyttäjähallintaan, kustomointiin (mukauttamiseen) ja pääkäyttäjältä vaadittavaan osaamiseen.Hyödyt ja lopputulema: Perusteellinen toiminnallinen ja tekninen osaaminen, kyky mukauttaa järjestelmä organisaation tarpeisiin sekä käyttäjähallinnasta vastaaminen.&nbsp;;True;Productivity;Sales and Marketing;Marketing and Sales
